mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-24-6tgu-s0-n100-seed1-0087,0.529412,0.705882,0.473684,0.705882,1,1,1.2854,2.935,2.2001,448
2026-08-24-6tgu-s0-n100-seed1-0088,0.941176,1.0,0.727273,0.809524,1,1,0.4532,2.4571,2.3081,313
2026-08-24-6tgu-s0-n100-seed1-0089,0.764706,0.823529,0.722222,0.777778,1,1,0.6017,3.0024,3.0635,369
2026-08-24-6tgu-s0-n100-seed1-0090,0.529412,0.647059,0.428571,0.55,1,1,0.8942,2.8462,2.4362,372
2026-08-24-6tgu-s0-n100-seed1-0091,0.823529,0.882353,0.636364,0.833333,1,1,1.1124,2.4761,2.2472,281
2026-08-24-6tgu-s0-n100-seed1-0092,0.764706,0.882353,0.65,0.75,1,1,0.6999,2.2099,2.5291,329
2026-08-24-6tgu-s0-n100-seed1-0093,0.529412,0.705882,0.5,0.666667,0,1,0.8261,2.9641,2.5457,354
2026-08-24-6tgu-s0-n100-seed1-0094,0.647059,0.705882,0.52381,0.571429,1,1,0.3742,2.8906,2.847,348
2026-08-24-6tgu-s0-n100-seed1-0095,0.705882,0.705882,0.631579,0.631579,1,1,0.0,3.1232,3.1232,466
2026-08-24-6tgu-s0-n100-seed1-0096,0.823529,0.823529,0.736842,0.736842,1,1,0.0,2.6868,2.6868,395
2026-08-24-6tgu-s0-n100-seed1-0097,0.941176,0.941176,0.842105,0.842105,1,1,0.0,2.9596,2.9596,335
2026-08-24-6tgu-s0-n100-seed1-0098,0.764706,0.823529,0.722222,0.823529,1,1,1.1865,2.7887,2.6029,334
2026-08-24-6tgu-s0-n100-seed1-0099,0.823529,0.823529,0.666667,0.666667,1,1,0.0,2.7253,2.7253,376
2026-08-24-6tgu-s0-n100-seed1-0100,0.764706,0.764706,0.590909,0.590909,1,1,0.0,2.9781,2.9781,346
