mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-09-17-6fnk-s0-n100-0031,0.5,0.571429,0.466667,0.533333,0,0,0.8843,1.8628,2.0727,380
2026-09-17-6fnk-s0-n100-0032,0.571429,0.785714,0.470588,0.785714,1,1,1.0813,1.5714,2.2395,413
2026-09-17-6fnk-s0-n100-0033,0.357143,0.357143,0.3125,0.333333,0,1,0.7569,1.5546,1.924,456
2026-09-17-6fnk-s0-n100-0034,0.571429,0.5,0.5,0.411765,0,1,0.896,0.6738,1.6151,447
2026-09-17-6fnk-s0-n100-0035,0.5,0.5,0.411765,0.411765,0,1,0.6383,0.5371,0.7,485
2026-09-17-6fnk-s0-n100-0036,0.571429,0.571429,0.571429,0.571429,1,1,0.0,1.6939,1.6939,475
2026-09-17-6fnk-s0-n100-0037,0.571429,0.571429,0.533333,0.470588,0,0,0.7618,2.1784,2.1523,380
2026-09-17-6fnk-s0-n100-0038,0.571429,0.428571,0.571429,0.4,1,0,0.6354,2.3595,2.6723,465
2026-09-17-6fnk-s0-n100-0039,0.357143,0.428571,0.357143,0.333333,1,1,1.2293,2.1498,2.6235,528
2026-09-17-6fnk-s0-n100-0040,0.642857,0.642857,0.5,0.5,1,1,0.0,1.4318,1.4318,425
2026-09-17-6fnk-s0-n100-0041,0.428571,0.428571,0.428571,0.4,0,0,0.872,1.9504,2.4755,423
2026-09-17-6fnk-s0-n100-0042,0.5,0.357143,0.4375,0.277778,1,1,0.9285,0.8969,1.6376,539
2026-09-17-6fnk-s0-n100-0043,0.428571,0.5,0.428571,0.4375,0,1,0.9922,1.2849,1.4801,411
2026-09-17-6fnk-s0-n100-0044,0.428571,0.428571,0.375,0.375,1,1,0.0,1.2897,1.2897,344
2026-09-17-6fnk-s0-n100-0045,0.357143,0.5,0.357143,0.466667,0,1,1.1127,1.1707,1.2187,419
2026-09-17-6fnk-s0-n100-0046,0.5,0.642857,0.4375,0.5625,0,0,0.3503,1.2214,1.2647,408
2026-09-17-6fnk-s0-n100-0047,0.5,0.5,0.466667,0.5,0,0,1.0314,1.642,2.0297,488
2026-09-17-6fnk-s0-n100-0048,0.428571,0.428571,0.352941,0.352941,0,1,0.778,1.5623,1.7977,443
2026-09-17-6fnk-s0-n100-0049,0.428571,0.5,0.4,0.4375,0,1,0.9244,2.0054,2.274,397
2026-09-17-6fnk-s0-n100-0050,0.428571,0.357143,0.375,0.277778,0,0,1.4669,1.5076,1.9157,444
2026-09-17-6fnk-s0-n100-0051,0.571429,0.5,0.5,0.388889,0,1,0.8926,0.8406,1.4462,461
2026-09-17-6fnk-s0-n100-0052,0.428571,0.428571,0.352941,0.352941,0,1,1.0755,0.8272,1.4242,407
2026-09-17-6fnk-s0-n100-0053,0.357143,0.357143,0.294118,0.294118,0,0,0.0,1.6175,1.6175,381
2026-09-17-6fnk-s0-n100-0054,0.5,0.5,0.4375,0.4375,1,1,0.0,1.0003,1.0003,443
2026-09-17-6fnk-s0-n100-0055,0.428571,0.428571,0.375,0.428571,0,0,0.847,1.2117,1.7975,412
2026-09-17-6fnk-s0-n100-0056,0.571429,0.642857,0.470588,0.529412,0,0,0.4238,1.4808,1.8201,386
2026-09-17-6fnk-s0-n100-0057,0.5,0.642857,0.411765,0.529412,1,1,1.0443,1.2879,1.8419,395
2026-09-17-6fnk-s0-n100-0058,0.428571,0.428571,0.352941,0.375,1,0,0.7849,1.0006,1.0454,438
2026-09-17-6fnk-s0-n100-0059,0.5,0.5,0.388889,0.388889,1,1,1.3463,1.6732,1.771,408
2026-09-17-6fnk-s0-n100-0060,0.357143,0.428571,0.294118,0.428571,0,0,0.8764,1.9409,2.2401,367
2026-09-17-6fnk-s0-n100-0061,0.357143,0.357143,0.294118,0.294118,1,1,0.0,2.0204,2.0204,271
2026-09-17-6fnk-s0-n100-0062,0.428571,0.5,0.352941,0.411765,1,0,1.2581,2.3579,2.1299,462
2026-09-17-6fnk-s0-n100-0063,0.285714,0.357143,0.285714,0.294118,0,1,0.8877,2.9232,2.1297,521
2026-09-17-6fnk-s0-n100-0064,0.428571,0.428571,0.375,0.315789,0,1,0.9357,0.5127,0.6201,510
2026-09-17-6fnk-s0-n100-0065,0.428571,0.428571,0.375,0.375,0,0,0.0,1.6511,1.6511,433
2026-09-17-6fnk-s0-n100-0066,0.428571,0.428571,0.352941,0.4,0,0,1.0652,1.1953,1.5284,428
2026-09-17-6fnk-s0-n100-0067,0.428571,0.5,0.352941,0.333333,0,1,1.2137,1.1009,1.3798,438
2026-09-17-6fnk-s0-n100-0068,0.5,0.571429,0.411765,0.444444,0,1,0.861,1.506,1.9161,359
2026-09-17-6fnk-s0-n100-0069,0.5,0.428571,0.388889,0.333333,1,1,1.0148,0.8897,1.1479,353
2026-09-17-6fnk-s0-n100-0070,0.428571,0.428571,0.315789,0.315789,1,1,0.0,0.6467,0.6467,388
2026-09-17-6fnk-s0-n100-0071,0.357143,0.357143,0.294118,0.277778,0,0,1.3611,1.4717,1.6633,378
2026-09-17-6fnk-s0-n100-0072,0.5,0.428571,0.411765,0.333333,0,1,0.988,0.5481,1.1838,545
2026-09-17-6fnk-s0-n100-0073,0.357143,0.357143,0.238095,0.238095,1,1,1.3322,1.5676,1.6117,332
2026-09-17-6fnk-s0-n100-0074,0.285714,0.357143,0.2,0.25,0,0,0.558,1.0195,1.1609,476
2026-09-17-6fnk-s0-n100-0075,0.285714,0.357143,0.25,0.333333,1,0,1.1145,1.7707,1.7888,442
2026-09-17-6fnk-s0-n100-0076,0.357143,0.285714,0.277778,0.222222,0,0,0.5512,1.513,1.9275,395
2026-09-17-6fnk-s0-n100-0077,0.428571,0.428571,0.333333,0.333333,1,1,0.0,0.5808,0.5808,531
2026-09-17-6fnk-s0-n100-0078,0.5,0.5,0.368421,0.368421,0,0,0.0,1.3811,1.3811,401
2026-09-17-6fnk-s0-n100-0079,0.357143,0.357143,0.333333,0.294118,0,1,1.0607,2.3776,2.5287,449
2026-09-17-6fnk-s0-n100-0080,0.428571,0.428571,0.315789,0.315789,1,1,0.0,1.4232,1.4232,473
2026-09-17-6fnk-s0-n100-0081,0.428571,0.428571,0.4,0.4,0,0,0.0,0.8858,0.8858,454
2026-09-17-6fnk-s0-n100-0082,0.428571,0.428571,0.285714,0.285714,1,1,0.0,1.3388,1.3388,373
2026-09-17-6fnk-s0-n100-0083,0.428571,0.428571,0.333333,0.285714,0,1,0.9915,1.32,1.6498,404
2026-09-17-6fnk-s0-n100-0084,0.357143,0.357143,0.263158,0.263158,1,1,0.0,1.574,1.574,462
2026-09-17-6fnk-s0-n100-0085,0.5,0.5,0.411765,0.411765,0,0,0.0,0.9999,0.9999,463
2026-09-17-6fnk-s0-n100-0086,0.285714,0.5,0.222222,0.388889,0,0,1.4958,2.0437,2.279,260
2026-09-17-6fnk-s0-n100-0087,0.428571,0.428571,0.352941,0.352941,0,0,0.0,1.5321,1.5321,443
2026-09-17-6fnk-s0-n100-0088,0.571429,0.571429,0.4,0.4,0,0,0.0,0.634,0.634,468
