run_id,mol_id,score_all7,score_scoring6,tanimoto,key_hbond,n_heavy
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0083,0.588235,0.0,0.5,0,15
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0084,0.705882,0.4,0.571429,1,27
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0086,0.764706,0.6,0.65,1,17
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0087,0.529412,0.2,0.473684,1,13
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0088,0.941176,1.0,0.727273,1,26
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0089,0.764706,0.6,0.722222,1,21
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0090,0.529412,0.0,0.428571,0,21
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0091,0.823529,0.6,0.636364,1,26
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0092,0.764706,0.4,0.65,1,27
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0093,0.529412,0.0,0.5,0,19
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0094,0.647059,0.0,0.52381,0,25
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0095,0.705882,0.0,0.631579,0,21
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0096,0.823529,0.4,0.736842,1,25
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0097,0.941176,0.8,0.842105,1,24
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0098,0.764706,0.2,0.722222,1,23
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0099,0.823529,0.4,0.666667,1,27
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0100,0.764706,0.4,0.590909,1,24
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0001,0.647059,0.2,0.5,1,32
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0002,0.647059,0.2,0.611111,1,22
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0003,0.764706,0.6,0.65,1,21
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0004,0.705882,0.6,0.705882,1,14
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0005,0.647059,0.4,0.647059,1,17
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0006,0.764706,0.4,0.619048,1,33
