run_id,source,top_fraction,n_selected,distinct_scores,score_at_cut,ties_at_cut,metric,aggregation,value,iqr_low,iqr_high,ci_low,ci_high
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.05,5,1,0.8,6,sa_score,distribution,7.256615416503578,7.082403406060564,7.4838872788905295,6.689655920853464,8.09878592591962
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.05,5,1,0.8,6,n_heavy_atoms,distribution,26.0,26.0,28.0,26.0,29.0
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.05,5,1,0.8,6,diversity,set,0.8843924230591593,,,,
2026-08-24-6tgu-s0-n100,local-poses,1.0,100,6,0.0,0,ifp_tanimoto,distribution,0.457516339869281,0.3529411764705882,0.5294117647058824,0.4117647058823529,0.4705882352941176
2026-08-24-6tgu-s0-n100,local-poses,1.0,100,6,0.0,0,ifp_tversky,distribution,0.4705882352941176,0.3529411764705882,0.5294117647058824,0.4117647058823529,0.4705882352941176
2026-08-24-6tgu-s0-n100,local-poses,1.0,100,6,0.0,0,hinge_hbond,share,0.4,,,0.30975000000000025,0.5
2026-08-24-6tgu-s0-n100,local-poses,1.0,100,6,0.0,0,ifp_score,distribution,0.2,0.0,0.6,0.2,0.4
2026-08-24-6tgu-s0-n100,local-poses,1.0,100,6,0.0,0,ifp_score_norm,distribution,0.008696,0.0,0.026087,0.008696,0.017391
2026-08-24-6tgu-s0-n100,local-poses,1.0,100,6,0.0,0,valid,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100,local-poses,1.0,100,6,0.0,0,connected,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100,local-poses,0.5,50,5,0.2,28,ifp_tanimoto,distribution,0.5294117647058824,0.4705882352941176,0.5882352941176471,0.4705882352941176,0.5588235294117647
2026-08-24-6tgu-s0-n100,local-poses,0.5,50,5,0.2,28,ifp_tversky,distribution,0.5294117647058824,0.4705882352941176,0.5882352941176471,0.4705882352941176,0.5588235294117647
2026-08-24-6tgu-s0-n100,local-poses,0.5,50,5,0.2,28,hinge_hbond,share,0.76,,,0.64,0.88
2026-08-24-6tgu-s0-n100,local-poses,0.5,50,5,0.2,28,ifp_score,distribution,0.6,0.4,0.8,0.4,0.6
2026-08-24-6tgu-s0-n100,local-poses,0.5,50,5,0.2,28,ifp_score_norm,distribution,0.026087,0.017391,0.034783,0.017391,0.026087
