target,measurement,variant,metric,value,unit,measured_utc,source,notes
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:binomial_improved,improved_control,2,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,доля улучшившихся против контроля all7-control; точный биномиальный тест
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:binomial_improved,molecules_control,97,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,доля улучшившихся против контроля all7-control; точный биномиальный тест
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:binomial_improved,p_value,5.01e-93,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,доля улучшившихся против контроля all7-control; точный биномиальный тест
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:binomial_improved,pairs,97,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,доля улучшившихся против контроля all7-control; точный биномиальный тест
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_min_distance,after_median,2.6216,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"минимальное расстояние до белка; растёт и в контроле — это свойство правила отбора шагов, а не потенциала"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_min_distance,before_median,2.8737,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"минимальное расстояние до белка; растёт и в контроле — это свойство правила отбора шагов, а не потенциала"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_min_distance,effect,-0.2521,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"минимальное расстояние до белка; растёт и в контроле — это свойство правила отбора шагов, а не потенциала"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_min_distance,p_value,1,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"минимальное расстояние до белка; растёт и в контроле — это свойство правила отбора шагов, а не потенциала"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_min_distance,pairs,69,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"минимальное расстояние до белка; растёт и в контроле — это свойство правила отбора шагов, а не потенциала"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_min_distance,worsened,57,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"минимальное расстояние до белка; растёт и в контроле — это свойство правила отбора шагов, а не потенциала"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_score,after_median,0.909091,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_score,before_median,0.818182,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_score,ci_high,0.107779,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_score,ci_low,0.0768509,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_score,effect,0.0918462,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_score,molecules,97,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_score,p_value,9.18724e-14,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_score,pairs,69,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_tanimoto,after_median,0.714286,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_tanimoto,before_median,0.6,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_tanimoto,ci_high,0.110673,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_tanimoto,ci_low,0.074867,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_tanimoto,effect,0.0921125,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_tanimoto,molecules,97,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_tanimoto,p_value,2.70147e-13,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:paired_tanimoto,pairs,69,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:permutation_tanimoto,ci_high,0.110917,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,перестановочный тест против контроля all7-control; знак меняется внутри пары
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:permutation_tanimoto,ci_low,0.0743899,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,перестановочный тест против контроля all7-control; знак меняется внутри пары
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:permutation_tanimoto,effect,0.0920344,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,перестановочный тест против контроля all7-control; знак меняется внутри пары
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:permutation_tanimoto,p_value,5e-05,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,перестановочный тест против контроля all7-control; знак меняется внутри пары
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:permutation_tanimoto,pairs,97,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,перестановочный тест против контроля all7-control; знак меняется внутри пары
3war,pose_optimization_stats,2026-09-18-3war-s0-n100-refligand:all7:permutation_tanimoto,permutations,20000,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100-refligand,перестановочный тест против контроля all7-control; знак меняется внутри пары
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_min_distance,after_median,1.33045,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"минимальное расстояние до белка; растёт и в контроле — это свойство правила отбора шагов, а не потенциала"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_min_distance,before_median,1.2409,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"минимальное расстояние до белка; растёт и в контроле — это свойство правила отбора шагов, а не потенциала"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_min_distance,effect,0.08955,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"минимальное расстояние до белка; растёт и в контроле — это свойство правила отбора шагов, а не потенциала"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_min_distance,p_value,2.0341e-08,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"минимальное расстояние до белка; растёт и в контроле — это свойство правила отбора шагов, а не потенциала"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_min_distance,pairs,41,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"минимальное расстояние до белка; растёт и в контроле — это свойство правила отбора шагов, а не потенциала"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_min_distance,worsened,1,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"минимальное расстояние до белка; растёт и в контроле — это свойство правила отбора шагов, а не потенциала"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_score,after_median,0.636364,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_score,before_median,0.636364,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_score,ci_high,0.00927645,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_score,ci_low,-0.0166976,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_score,effect,-0.00371057,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_score,molecules,98,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_score,p_value,0.796684,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_score,pairs,23,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_tanimoto,after_median,0.35,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_tanimoto,before_median,0.35,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_tanimoto,ci_high,0.00521556,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_tanimoto,ci_low,-0.0115918,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_tanimoto,effect,-0.00356524,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_tanimoto,molecules,98,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_tanimoto,p_value,0.934122,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7-control:paired_tanimoto,pairs,39,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:binomial_improved,effect,0.591837,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,доля улучшившихся против контроля all7-control; точный биномиальный тест
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:binomial_improved,improved,58,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,доля улучшившихся против контроля all7-control; точный биномиальный тест
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:binomial_improved,improved_control,11,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,доля улучшившихся против контроля all7-control; точный биномиальный тест
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:binomial_improved,molecules_control,98,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,доля улучшившихся против контроля all7-control; точный биномиальный тест
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:binomial_improved,p_value,3.72999e-30,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,доля улучшившихся против контроля all7-control; точный биномиальный тест
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:binomial_improved,pairs,98,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,доля улучшившихся против контроля all7-control; точный биномиальный тест
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_min_distance,after_median,1.36435,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"минимальное расстояние до белка; растёт и в контроле — это свойство правила отбора шагов, а не потенциала"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_min_distance,before_median,1.2409,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"минимальное расстояние до белка; растёт и в контроле — это свойство правила отбора шагов, а не потенциала"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_min_distance,effect,0.12345,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"минимальное расстояние до белка; растёт и в контроле — это свойство правила отбора шагов, а не потенциала"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_min_distance,p_value,1.75303e-11,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"минимальное расстояние до белка; растёт и в контроле — это свойство правила отбора шагов, а не потенциала"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_min_distance,pairs,58,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"минимальное расстояние до белка; растёт и в контроле — это свойство правила отбора шагов, а не потенциала"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_min_distance,worsened,0,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"минимальное расстояние до белка; растёт и в контроле — это свойство правила отбора шагов, а не потенциала"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_score,after_median,0.727273,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_score,before_median,0.636364,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_score,ci_high,0.0871984,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_score,ci_low,0.0584415,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_score,effect,0.0723562,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_score,molecules,98,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_score,p_value,9.95128e-12,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_score,pairs,58,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_tanimoto,after_median,0.391304,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_tanimoto,before_median,0.35,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_tanimoto,ci_high,0.054651,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_tanimoto,ci_low,0.0350943,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_tanimoto,effect,0.0446976,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_tanimoto,molecules,98,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_tanimoto,p_value,2.15722e-11,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:paired_tanimoto,pairs,58,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,"парный Уилкоксон, односторонний; интервал — бутстрэп среднего прироста"
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:permutation_tanimoto,ci_high,0.0583896,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,перестановочный тест против контроля all7-control; знак меняется внутри пары
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:permutation_tanimoto,ci_low,0.0384133,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,перестановочный тест против контроля all7-control; знак меняется внутри пары
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:permutation_tanimoto,effect,0.0482628,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,перестановочный тест против контроля all7-control; знак меняется внутри пары
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:permutation_tanimoto,p_value,5e-05,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,перестановочный тест против контроля all7-control; знак меняется внутри пары
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:permutation_tanimoto,pairs,98,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,перестановочный тест против контроля all7-control; знак меняется внутри пары
3war,pose_optimization_stats,2026-09-18-3war-s0-n100:all7:permutation_tanimoto,permutations,20000,,2026-09-18,python scripts/pose_optimization_stats.py 2026-09-18-3war-s0-n100,перестановочный тест против контроля all7-control; знак меняется внутри пары
5lvo,klifs_rules,all,reference_bits,14,бит,2026-09-19,python scripts/klifs_rules.py --best-per-kinase,"правила FingerPrintLib, пороги: кольца 4.0 A и 30.0°, гидрофобный 4.5 A, водородная связь 3.5 A и 45.0°, ионный 4.0 A"
5lvo,klifs_rules,all,shared_bits,14,бит,2026-09-19,python scripts/klifs_rules.py --best-per-kinase,"правила FingerPrintLib, пороги: кольца 4.0 A и 30.0°, гидрофобный 4.5 A, водородная связь 3.5 A и 45.0°, ионный 4.0 A"
5nkg,klifs_rules,all,reference_bits,22,бит,2026-09-19,python scripts/klifs_rules.py --best-per-kinase,"правила FingerPrintLib, пороги: кольца 4.0 A и 30.0°, гидрофобный 4.5 A, водородная связь 3.5 A и 45.0°, ионный 4.0 A"
5nkg,klifs_rules,all,shared_bits,22,бит,2026-09-19,python scripts/klifs_rules.py --best-per-kinase,"правила FingerPrintLib, пороги: кольца 4.0 A и 30.0°, гидрофобный 4.5 A, водородная связь 3.5 A и 45.0°, ионный 4.0 A"
6fnk,calibration_smoke,explicit,bits_common,3,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,KLIFS ID 10344
6fnk,calibration_smoke,explicit,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,KLIFS ID 10344
6fnk,calibration_smoke,explicit,bits_ours,3,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,KLIFS ID 10344
6fnk,calibration_smoke,explicit,bits_reference,14,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,KLIFS ID 10344
6fnk,calibration_smoke,explicit,gross_failures,0,,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke,explicit,tanimoto_all,0.214,,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,KLIFS ID 10344
6fnk,calibration_smoke,explicit,tanimoto_scoring,0.667,,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,KLIFS ID 10344
6fnk,calibration_smoke,implicit-prolif,bits_common,3,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,KLIFS ID 10344
6fnk,calibration_smoke,implicit-prolif,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,KLIFS ID 10344
6fnk,calibration_smoke,implicit-prolif,bits_ours,3,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,KLIFS ID 10344
6fnk,calibration_smoke,implicit-prolif,bits_reference,14,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,KLIFS ID 10344
6fnk,calibration_smoke,implicit-prolif,tanimoto_all,0.214,,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,KLIFS ID 10344
6fnk,calibration_smoke,implicit-prolif,tanimoto_scoring,0.667,,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,KLIFS ID 10344
6fnk,calibration_smoke_by_type,explicit:ACC,bits_common,1,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke_by_type,explicit:ACC,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke_by_type,explicit:ACC,bits_missed,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke_by_type,explicit:ACC,bits_ours,1,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke_by_type,explicit:ACC,bits_reference,1,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke_by_type,explicit:DON,bits_common,1,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke_by_type,explicit:DON,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke_by_type,explicit:DON,bits_missed,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke_by_type,explicit:DON,bits_ours,1,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke_by_type,explicit:DON,bits_reference,1,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke_by_type,explicit:F-E,bits_common,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke_by_type,explicit:F-E,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke_by_type,explicit:F-E,bits_missed,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke_by_type,explicit:F-E,bits_ours,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke_by_type,explicit:F-E,bits_reference,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke_by_type,explicit:F-F,bits_common,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke_by_type,explicit:F-F,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke_by_type,explicit:F-F,bits_missed,1,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke_by_type,explicit:F-F,bits_ours,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
6fnk,calibration_smoke_by_type,explicit:F-F,bits_reference,1,bit,2026-09-18,python scripts/calibrate_ifp.py --target 6fnk,
