kinase.klifs_name,species.klifs,n_structures,best_resolution,best_quality,kinase.group,kinase.family
ULK1,Human,20,1.56,9.2,Other,ULK
TGFbR2,Human,8,1.57,9.4,TKL,STKR
KDR,Human,5,1.57,6.4,TK,VEGFR
AurA,Human,154,1.58,9.6,Other,Aur
PIM1,Human,255,1.6,9.9,CAMK,PIM
LCK,Human,30,1.6,9.9,TK,Src
FGFR4,Human,40,1.6,9.6,TK,FGFR
AKT2,Human,19,1.6,9.4,AGC,Akt
EphB1,Human,6,1.608,8.8,TK,Eph
FGFR1,Human,169,1.63,9.7,TK,FGFR
SLK,Human,6,1.63,9.0,STE,STE20
RET,Human,54,1.64,9.8,TK,Ret
PAK1,Human,28,1.64,9.6,STE,STE20
YSK1,Human,4,1.644,9.2,STE,STE20
Erk5,Human,19,1.65,9.8,CMGC,MAPK
CDK2,Human,305,1.65,9.6,CMGC,CDK
TYK2,Human,43,1.65,9.4,TK,JakA
LIMK1,Human,9,1.65,8.9,TKL,LISK
PIK3C3,Human,13,1.67,9.6,Atypical,PIK
ITK,Human,42,1.67,9.0,TK,Tec
MRCKb,Human,10,1.68,9.4,AGC,DMPK
JNK2,Human,5,1.69,8.0,CMGC,MAPK
p38a,Human,127,1.7,9.7,CMGC,MAPK
JNK3,Human,85,1.7,9.6,CMGC,MAPK
SRPK1,Human,13,1.7,8.0,CMGC,SRPK
ULK3,Human,1,1.7,6.4,Other,ULK
TYK2-b,Human,60,1.71,9.8,TK,JakB
DCLK1,Human,8,1.71,9.4,CAMK,DCAMKL
PRPK,Human,7,1.71,8.0,Other,Bud32
BIKE,Human,8,1.72,9.6,Other,NAK
IRE1,Human,28,1.736,9.7,Other,IRE
FGFR3,Human,12,1.737,8.0,TK,FGFR
PLK2,Human,9,1.74,8.0,Other,PLK
RSK2,Human,4,1.74,8.0,AGC,RSK
AurC,Human,4,1.75,9.8,Other,Aur
FES,Human,10,1.75,9.7,TK,Fer
PAK4,Human,39,1.75,9.6,STE,STE20
DRAK2,Human,20,1.75,9.6,CAMK,DAPK
CK1g1,Human,2,1.75,9.6,CK1,CK1
ULK4,Human,3,1.75,9.0,Other,ULK
MET,Human,5,1.75,8.0,TK,Met
CHK2,Human,37,1.77,8.0,CAMK,RAD53
ErbB2,Human,6,1.77,8.0,TK,EGFR
MELK,Human,73,1.79,9.7,CAMK,CAMKL
ACK,Human,15,1.79,9.0,TK,Ack
PKCi,Human,13,1.79,9.0,AGC,PKC
INSR,Human,13,1.79,8.0,TK,InsR
PAK5,Human,2,1.8,9.9,STE,STE20
EGFR,Human,166,1.8,9.7,TK,EGFR
FGFR2,Human,97,1.8,9.7,TK,FGFR
GSK3B,Human,190,1.8,9.6,CMGC,GSK
VRK1,Human,87,1.8,9.6,CK1,VRK
TBK1,Human,8,1.8,8.0,Other,IKK
GPRK5,Human,6,1.8,8.0,AGC,GRK
PKG1,Human,12,1.83,9.6,AGC,PKG
CASK,Human,18,1.85,9.7,CAMK,CASK
p70S6K,Human,20,1.85,9.4,AGC,RSK
